CMDLINE python3 scripts/run.py
MEM 641.625000 1725625943.5605
MEM 641.750000 1725625943.6615
MEM 641.750000 1725625943.7641
MEM 641.750000 1725625943.8644
MEM 641.750000 1725625943.9663
MEM 641.750000 1725625944.0678
MEM 641.750000 1725625944.1687
MEM 641.875000 1725625944.2699
MEM 642.000000 1725625944.3713
MEM 642.000000 1725625944.4725
MEM 642.000000 1725625944.5735
MEM 642.000000 1725625944.6744
MEM 642.000000 1725625944.7756
MEM 642.000000 1725625944.8766
MEM 642.000000 1725625944.9777
MEM 642.000000 1725625945.0801
MEM 642.000000 1725625945.1816
MEM 642.000000 1725625945.2827
MEM 642.000000 1725625945.3834
MEM 642.000000 1725625945.4845
MEM 642.000000 1725625945.5869
MEM 642.000000 1725625945.6877
MEM 642.000000 1725625945.7889
MEM 642.000000 1725625945.8895
MEM 642.000000 1725625945.9906
MEM 642.000000 1725625946.0954
MEM 642.000000 1725625946.2085
MEM 642.250000 1725625946.3096
MEM 642.250000 1725625946.4107
MEM 642.250000 1725625946.5116
MEM 642.375000 1725625946.6127
MEM 642.375000 1725625946.7139
MEM 642.375000 1725625946.8144
MEM 642.500000 1725625946.9157
MEM 642.625000 1725625947.0167
MEM 642.625000 1725625947.1175
MEM 642.750000 1725625947.2186
MEM 642.750000 1725625947.3214
MEM 642.750000 1725625947.4229
MEM 642.750000 1725625947.5272
MEM 642.750000 1725625947.6291
MEM 642.750000 1725625947.7325
MEM 642.750000 1725625947.8334
MEM 642.750000 1725625947.9346
MEM 642.750000 1725625948.0356
MEM 642.875000 1725625948.1371
MEM 642.875000 1725625948.2387
MEM 642.875000 1725625948.3397
MEM 643.000000 1725625948.4430
MEM 643.125000 1725625948.5439
MEM 643.125000 1725625948.6451
MEM 643.250000 1725625948.7458
MEM 643.375000 1725625948.8471
MEM 643.375000 1725625948.9490
MEM 643.375000 1725625949.0500
MEM 643.375000 1725625949.1510
MEM 643.375000 1725625949.2519
MEM 643.375000 1725625949.3530
MEM 643.375000 1725625949.4545
MEM 643.375000 1725625949.5560
MEM 643.375000 1725625949.6584
MEM 643.375000 1725625949.7589
MEM 643.500000 1725625949.8600
MEM 643.500000 1725625949.9630
MEM 643.500000 1725625950.0643
MEM 643.500000 1725625950.1652
MEM 643.500000 1725625950.2660
MEM 643.500000 1725625950.3687
MEM 643.625000 1725625950.4702
MEM 643.750000 1725625950.5728
MEM 643.875000 1725625950.6742
MEM 643.875000 1725625950.7748
MEM 643.875000 1725625950.8759
MEM 644.000000 1725625950.9772
MEM 644.000000 1725625951.0779
MEM 644.000000 1725625951.1789
MEM 644.000000 1725625951.2804
MEM 644.125000 1725625951.3809
MEM 644.250000 1725625951.4822
MEM 644.250000 1725625951.5837
MEM 644.500000 1725625951.6848
MEM 644.500000 1725625951.7858
MEM 644.625000 1725625951.8870
MEM 644.625000 1725625951.9878
MEM 644.625000 1725625952.0887
MEM 644.625000 1725625952.1904
MEM 644.625000 1725625952.2915
MEM 644.875000 1725625952.3931
MEM 644.875000 1725625952.4943
MEM 645.000000 1725625952.5948
MEM 645.000000 1725625952.6960
MEM 645.125000 1725625952.7969
MEM 645.125000 1725625952.8978
MEM 645.125000 1725625953.0007
MEM 645.125000 1725625953.1019
MEM 645.125000 1725625953.2060
MEM 645.375000 1725625953.3091
MEM 645.500000 1725625953.4101
MEM 645.500000 1725625953.5107
MEM 645.625000 1725625953.6120
MEM 645.625000 1725625953.7128
MEM 645.625000 1725625953.8151
MEM 645.625000 1725625953.9164
MEM 645.625000 1725625954.0178
MEM 645.625000 1725625954.1210
MEM 645.625000 1725625954.2237
MEM 645.625000 1725625954.3264
MEM 645.625000 1725625954.4274
MEM 645.625000 1725625954.5323
MEM 645.625000 1725625954.6342
MEM 645.625000 1725625954.7355
MEM 645.625000 1725625954.8375
MEM 645.625000 1725625954.9389
MEM 645.625000 1725625955.0400
MEM 645.625000 1725625955.1419
MEM 645.625000 1725625955.2431
MEM 645.882812 1725625955.3442
MEM 829.660156 1725625955.4454
MEM 960.933594 1725625955.5472
MEM 960.964844 1725625955.6486
MEM 829.992188 1725625955.7497
MEM 803.894531 1725625955.8507
MEM 778.238281 1725625955.9523
MEM 647.140625 1725625956.0529
MEM 647.273438 1725625956.1547
MEM 668.523438 1725625956.2579
MEM 678.023438 1725625956.3609
MEM 681.898438 1725625956.4631
MEM 691.398438 1725625956.5654
MEM 700.148438 1725625956.6666
MEM 703.648438 1725625956.7676
MEM 713.148438 1725625956.8686
MEM 722.523438 1725625956.9696
MEM 731.648438 1725625957.0707
MEM 734.023438 1725625957.1716
MEM 731.058594 1725625957.2726
MEM 744.683594 1725625957.3737
MEM 757.683594 1725625957.4748
MEM 762.183594 1725625957.5759
MEM 776.433594 1725625957.6786
MEM 788.683594 1725625957.7806
MEM 787.214844 1725625957.8827
MEM 790.964844 1725625957.9863
MEM 792.589844 1725625958.0893
MEM 798.839844 1725625958.1899
MEM 824.089844 1725625958.2923
MEM 831.089844 1725625958.3936
MEM 831.089844 1725625958.4941
MEM 831.089844 1725625958.5956
MEM 819.144531 1725625958.6967
MEM 818.660156 1725625958.7976
MEM 825.285156 1725625958.8986
MEM 827.660156 1725625958.9996
MEM 827.910156 1725625959.1006
MEM 827.910156 1725625959.2016
MEM 742.292969 1725625959.3026
MEM 742.292969 1725625959.4039
MEM 742.292969 1725625959.5067
MEM 568.164062 1725625959.6081
MEM 568.164062 1725625959.7087
MEM 560.191406 1725625959.8098
MEM 560.191406 1725625959.9114
MEM 560.191406 1725625960.0119
MEM 560.191406 1725625960.1166
MEM 560.191406 1725625960.2176
MEM 560.191406 1725625960.3186
MEM 560.191406 1725625960.4196
MEM 560.191406 1725625960.5206
MEM 560.191406 1725625960.6216
MEM 560.191406 1725625960.7226
MEM 560.191406 1725625960.8237
MEM 560.191406 1725625960.9246
MEM 560.191406 1725625961.0256
MEM 560.191406 1725625961.1266
MEM 560.191406 1725625961.2276
MEM 561.566406 1725625961.3286
MEM 573.316406 1725625961.4296
MEM 592.441406 1725625961.5306
MEM 589.765625 1725625961.6316
MEM 593.515625 1725625961.7326
MEM 593.515625 1725625961.8336
MEM 601.765625 1725625961.9347
MEM 610.265625 1725625962.0357
MEM 627.265625 1725625962.1367
MEM 627.265625 1725625962.2378
MEM 627.390625 1725625962.3386
